LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1733303895.781350,360474.000,56716,1,SF,1,100,2.3837
1733303896.114351,360807.000,56765,1,SF,1,100,2.3561
1733303896.514353,361207.000,56835,1,SF,1,100,2.3288
1733303896.781353,361474.000,56884,1,SF,1,100,2.3019
1733303897.114354,361807.000,56933,1,SF,1,100,2.2753
1733303897.447355,362140.000,56983,1,SF,1,100,2.2490
1733303897.847357,362540.000,57048,1,SF,1,100,2.2229
1733303898.114357,362807.000,57099,1,SF,1,100,2.1972
1733303898.447358,363140.000,57149,1,SF,1,100,2.1718
1733303898.847359,363540.000,57214,1,SF,1,100,2.1467
1733303899.114360,363807.000,57263,1,SF,1,100,2.1219
1733303899.447361,364140.000,57315,1,SF,1,100,2.0973
1733303899.780362,364473.000,57364,1,SF,1,100,2.0730
1733303900.180363,364873.000,57429,1,SF,1,100,2.0491
1733303900.447364,365140.000,57479,1,SF,1,100,2.0254
1733303900.847365,365540.000,57535,1,SF,1,100,2.0019
1733303901.113366,365806.000,57585,1,SF,1,100,1.9788
1733303901.447367,366140.000,57634,1,SF,1,100,1.9559
1733303901.847368,366540.000,57702,1,SF,1,100,1.9333
1733303902.180369,366873.000,57753,1,SF,1,100,1.9109
1733303902.447370,367140.000,57802,1,SF,1,100,1.8888
1733303902.780371,367473.000,57850,1,SF,1,100,1.8669
1733303903.180372,367873.000,57917,1,SF,1,100,1.8453
1733303903.447373,368140.000,57968,1,SF,1,100,1.8240
1733303903.780374,368473.000,58016,1,SF,1,100,1.8029
1733303904.113375,368806.000,58067,1,SF,1,100,1.7820
1733303904.513376,369206.000,58132,1,SF,1,100,1.7614
1733303904.780377,369473.000,58184,1,SF,1,100,1.7410
1733303905.113378,369806.000,58233,1,SF,1,100,1.7209
1733303905.513379,370206.000,58298,1,SF,1,100,1.7010
1733303905.780380,370473.000,58336,1,SF,1,100,1.6813
1733303906.180381,370873.000,58403,1,SF,1,100,1.6619
1733303906.446382,371139.000,58451,1,SF,1,100,1.6426
1733303906.780383,371473.000,58502,1,SF,1,100,1.6236
1733303907.113384,371806.000,58554,1,SF,1,100,1.6049
1733303907.513385,372206.000,58619,1,SF,1,100,1.5863
1733303907.779386,372472.000,58668,1,SF,1,100,1.5679
1733303908.113387,372806.000,58718,1,SF,1,100,1.5498
1733303908.513388,373206.000,58783,1,SF,1,100,1.5319
1733303908.779389,373472.000,58834,1,SF,1,100,1.5142
1733303909.113389,373806.000,58884,1,SF,1,100,1.4966
1733303909.446391,374139.000,58933,1,SF,1,100,1.4793
1733303909.846392,374539.000,58998,1,SF,1,100,1.4622
1733303910.113393,374806.000,59050,1,SF,1,100,1.4453
1733303910.446393,375139.000,59099,1,SF,1,100,1.4286
1733303910.912395,375605.000,59171,1,SF,1,100,1.4121
1733303911.113395,375806.000,59205,1,SF,1,100,1.3957
1733303911.512397,376205.000,59272,1,SF,1,100,1.3796
1733303911.779397,376472.000,59322,1,SF,1,100,1.3636
1733303912.112398,376805.000,59372,1,SF,1,100,1.3478
1733303912.446399,377139.000,59421,1,SF,1,100,1.3323
1733303912.846400,377539.000,59488,1,SF,1,100,1.3168
1733303913.179401,377872.000,59537,1,SF,1,100,1.3016
1733303913.446402,378139.000,59587,1,SF,1,100,1.2865
1733303913.779403,378472.000,59638,1,SF,1,100,1.2717
1733303914.112404,378805.000,59686,1,SF,1,100,1.2570
1733303914.512405,379205.000,59751,1,SF,1,100,1.2424
1733303914.779406,379472.000,59802,1,SF,1,100,1.2280
1733303915.112407,379805.000,59852,1,SF,1,100,1.2138
1733303915.512408,380205.000,59917,1,SF,1,100,1.1998
1733303915.779409,380472.000,59966,1,SF,1,100,1.1859
1733303916.112410,380805.000,60007,1,SF,1,100,1.1722
1733303916.445411,381138.000,60058,1,SF,1,100,1.1586
1733303916.845412,381538.000,60125,1,SF,1,100,1.1452
1733303917.112413,381805.000,60175,1,SF,1,100,1.1320
1733303917.445414,382138.000,60224,1,SF,1,100,1.1189
1733303917.845415,382538.000,60290,1,SF,1,100,1.1059
1733303918.178416,382871.000,60339,1,SF,1,100,1.0932
1733303918.445417,383138.000,60388,1,SF,1,100,1.0805
1733303918.778418,383471.000,60438,1,SF,1,100,1.0680
1733303919.178419,383871.000,60503,1,SF,1,100,1.0557
1733303919.445420,384138.000,60554,1,SF,1,100,1.0434
1733303919.778421,384471.000,60604,1,SF,1,100,1.0314
1733303920.178422,384871.000,60669,1,SF,1,100,1.0194
1733303920.512423,385205.000,60718,1,SF,1,100,1.0076
1733303920.778424,385471.000,60770,1,SF,1,100,0.9960
1733303921.111425,385804.000,60824,1,SF,1,100,0.9845
1733303921.445426,386138.000,60875,1,SF,1,100,0.9731
1733303921.778427,386471.000,60927,1,SF,1,100,0.9618
1733303922.178428,386871.000,60992,1,SF,1,100,0.9507
1733303922.445429,387138.000,61042,1,SF,1,100,0.9397
1733303922.778430,387471.000,61091,1,SF,1,100,0.9288
1733303923.178431,387871.000,61158,1,SF,1,100,0.9181
1733303923.445432,388138.000,61208,1,SF,1,100,0.9075
1733303923.778433,388471.000,61257,1,SF,1,100,0.8970
1733303924.111434,388804.000,61307,1,SF,1,100,0.8866
1733303924.511435,389204.000,61372,1,SF,1,100,0.8763
1733303924.778435,389471.000,61423,1,SF,1,100,0.8662
1733303925.111437,389804.000,61473,1,SF,1,100,0.8562
1733303925.511438,390204.000,61538,1,SF,1,100,0.8463
1733303925.778439,390471.000,61589,1,SF,1,100,0.8365
1733303926.111439,390804.000,61638,1,SF,1,100,0.8268
1733303926.445441,391138.000,61693,1,SF,1,100,0.8172
1733303926.778441,391471.000,61746,1,SF,1,100,0.8078
1733303927.111442,391804.000,61796,1,SF,1,100,0.7984
1733303927.511444,392204.000,61861,1,SF,1,100,0.7892
1733303927.778444,392471.000,61911,1,SF,1,100,0.7801
1733303928.111445,392804.000,61960,1,SF,1,100,0.7711
1733303928.511446,393204.000,62025,1,SF,1,100,0.7621
1733303928.777447,393470.000,62077,1,SF,1,100,0.7533
1733303929.111448,393804.000,62126,1,SF,1,100,0.7446
1733303929.444449,394137.000,62174,1,SF,1,100,0.7360
1733303929.844450,394537.000,62241,1,SF,1,100,0.7275
1733303930.111451,394804.000,62292,1,SF,1,100,0.7191
1733303930.444452,395137.000,62340,1,SF,1,100,0.7107
1733303930.844453,395537.000,62407,1,SF,1,100,0.7025
1733303931.111454,395804.000,62456,1,SF,1,100,0.6944
1733303931.510455,396203.000,62513,1,SF,1,100,0.6864
1733303931.777456,396470.000,62564,1,SF,1,100,0.6784
1733303932.110457,396803.000,62612,1,SF,1,100,0.6706
1733303932.510458,397203.000,62679,1,SF,1,100,0.6628
1733303932.777459,397470.000,62730,1,SF,1,100,0.6551
1733303933.110460,397803.000,62778,1,SF,1,100,0.6476
1733303933.444461,398137.000,62827,1,SF,1,100,0.6401
1733303933.844462,398537.000,62894,1,SF,1,100,0.6327
1733303934.110463,398803.000,62946,1,SF,1,100,0.6254
1733303934.444464,399137.000,62995,1,SF,1,100,0.6181
1733303934.844465,399537.000,63060,1,SF,1,100,0.6110
1733303935.110466,399803.000,63108,1,SF,1,100,0.6039
1733303935.443467,400136.000,63161,1,SF,1,100,0.5969
1733303935.777468,400470.000,63209,1,SF,1,100,0.5900
1733303936.177469,400870.000,63274,1,SF,1,100,0.5832
1733303936.510470,401203.000,63328,1,SF,1,100,0.5764
1733303936.843471,401536.000,63380,1,SF,1,100,0.5698
1733303937.110472,401803.000,63429,1,SF,1,100,0.5632
1733303937.443473,402136.000,63479,1,SF,1,100,0.5567
1733303937.843474,402536.000,63544,1,SF,1,100,0.5502
1733303938.110475,402803.000,63597,1,SF,1,100,0.5439
1733303938.443476,403136.000,63645,1,SF,1,100,0.5376
1733303938.776477,403469.000,63694,1,SF,1,100,0.5314
1733303939.176478,403869.000,63759,1,SF,1,100,0.5252
1733303939.443479,404136.000,63811,1,SF,1,100,0.5191
1733303939.776479,404469.000,63860,1,SF,1,100,0.5131
1733303940.176481,404869.000,63925,1,SF,1,100,0.5072
1733303940.443481,405136.000,63975,1,SF,1,100,0.5013
1733303940.776483,405469.000,64026,1,SF,1,100,0.4955
1733303941.110483,405803.000,64076,1,SF,1,100,0.4898
1733303941.509485,406202.000,64143,1,SF,1,100,0.4841
1733303941.843486,406536.000,64200,1,SF,1,100,0.4785
1733303942.176487,406869.000,64251,1,SF,1,100,0.4730
1733303942.443487,407136.000,64300,1,SF,1,100,0.4675
1733303942.776488,407469.000,64348,1,SF,1,100,0.4621
1733303943.176490,407869.000,64415,1,SF,1,100,0.4568
1733303943.443490,408136.000,64466,1,SF,1,100,0.4515
1733303943.776491,408469.000,64514,1,SF,1,100,0.4463
1733303944.176492,408869.000,64581,1,SF,1,100,0.4411
1733303944.509494,409202.000,64630,1,SF,1,100,0.4360
1733303944.776494,409469.000,64680,1,SF,1,100,0.4309
1733303945.109495,409802.000,64731,1,SF,1,100,0.4260
1733303945.509496,410202.000,64796,1,SF,1,100,0.4210
1733303945.776497,410469.000,64844,1,SF,1,100,0.4162
1733303946.109498,410802.000,64895,1,SF,1,100,0.4113
1733303946.509499,411202.000,64963,1,SF,1,100,0.4066
1733303946.776500,411469.000,65003,1,SF,1,100,0.4019
1733303947.176501,411869.000,65068,1,SF,1,100,0.3972
1733303947.442502,412135.000,65118,1,SF,1,100,0.3926
1733303947.775503,412468.000,65169,1,SF,1,100,0.3881
1733303948.175504,412868.000,65234,1,SF,1,100,0.3836
1733303948.442505,413135.000,65268,1,SF,1,100,0.3792
1733303948.842506,413535.000,65335,1,SF,1,100,0.3748
1733303949.109507,413802.000,65383,1,SF,1,100,0.3705
1733303949.442508,414135.000,65432,1,SF,1,100,0.3662
1733303949.842509,414535.000,65499,1,SF,1,100,0.3619
1733303950.109510,414802.000,13,1,SF,1,100,0.3577
1733303950.442511,415135.000,62,1,SF,1,100,0.3536
1733303950.775512,415468.000,112,1,SF,1,100,0.3495
1733303951.175513,415868.000,177,1,SF,1,100,0.3455
1733303951.442514,416135.000,230,1,SF,1,100,0.3415
1733303951.775515,416468.000,285,1,SF,1,100,0.3375
1733303952.175516,416868.000,350,1,SF,1,100,0.3336
1733303952.442517,417135.000,401,1,SF,1,100,0.3298
1733303952.775518,417468.000,450,1,SF,1,100,0.3259
1733303953.108519,417801.000,500,1,SF,1,100,0.3222
1733303953.508520,418201.000,567,1,SF,1,100,0.3184
1733303953.775521,418468.000,615,1,SF,1,100,0.3148
1733303954.108522,418801.000,666,1,SF,1,100,0.3111
1733303954.508523,419201.000,732,1,SF,1,100,0.3075
1733303954.842524,419535.000,781,1,SF,1,100,0.3040
1733303955.108525,419801.000,830,1,SF,1,100,0.3005
1733303955.441526,420134.000,880,1,SF,1,100,0.2970
1733303955.841527,420534.000,945,1,SF,1,100,0.2935
1733303956.108528,420801.000,998,1,SF,1,100,0.2901
1733303956.441529,421134.000,1046,1,SF,1,100,0.2868
1733303956.841530,421534.000,1113,1,SF,1,100,0.2835
1733303957.108531,421801.000,1152,1,SF,1,100,0.2802
1733303957.508532,422201.000,1217,1,SF,1,100,0.2769
1733303957.775532,422468.000,1266,1,SF,1,100,0.2737
1733303958.108533,422801.000,1317,1,SF,1,100,0.2706
1733303958.441535,423134.000,1367,1,SF,1,100,0.2674
1733303958.841536,423534.000,1432,1,SF,1,100,0.2644
1733303959.108536,423801.000,1482,1,SF,1,100,0.2613
1733303959.441537,424134.000,1531,1,SF,1,100,0.2583
1733303959.841538,424534.000,1596,1,SF,1,100,0.2553
1733303960.108539,424801.000,1648,1,SF,1,100,0.2523
1733303960.441540,425134.000,1697,1,SF,1,100,0.2494
1733303960.774541,425467.000,1745,1,SF,1,100,0.2465
1733303961.174542,425867.000,1812,1,SF,1,100,0.2437
1733303961.441543,426134.000,1863,1,SF,1,100,0.2409
1733303961.774544,426467.000,1915,1,SF,1,100,0.2381
1733303962.174545,426867.000,1987,1,SF,1,100,0.2353
1733303962.441546,427134.000,2036,1,SF,1,100,0.2326
1733303962.774547,427467.000,2087,1,SF,1,100,0.2299
1733303963.174548,427867.000,2152,1,SF,1,100,0.2272
1733303963.507549,428200.000,2202,1,SF,1,100,0.2246
1733303963.774550,428467.000,2252,1,SF,1,100,0.2220
1733303964.107551,428800.000,2301,1,SF,1,100,0.2194
1733303964.507552,429200.000,2368,1,SF,1,100,0.2169
1733303964.774553,429467.000,2418,1,SF,1,100,0.2144
1733303965.107554,429800.000,2467,1,SF,1,100,0.2119
1733303965.507555,430200.000,2534,1,SF,1,100,0.2095
1733303965.840556,430533.000,2582,1,SF,1,100,0.2070
1733303966.107557,430800.000,2633,1,SF,1,100,0.2047
1733303966.440558,431133.000,2683,1,SF,1,100,0.2023
1733303966.840559,431533.000,2750,1,SF,1,100,0.1999
1733303967.107560,431800.000,2804,1,SF,1,100,0.1976
1733303967.440561,432133.000,2856,1,SF,1,100,0.1953
1733303967.774562,432467.000,2905,1,SF,1,100,0.1931
1733303968.173563,432866.000,2970,1,SF,1,100,0.1909
1733303968.440564,433133.000,3020,1,SF,1,100,0.1886
1733303968.773565,433466.000,3069,1,SF,1,100,0.1865
1733303969.173566,433866.000,3137,1,SF,1,100,0.1843
1733303969.507567,434200.000,3186,1,SF,1,100,0.1822
1733303969.773568,434466.000,3235,1,SF,1,100,0.1801
1733303970.107569,434800.000,3285,1,SF,1,100,0.1780
1733303970.507570,435200.000,3350,1,SF,1,100,0.1759
1733303970.773571,435466.000,3401,1,SF,1,100,0.1739
1733303971.107572,435800.000,3451,1,SF,1,100,0.1719
1733303971.507573,436200.000,3518,1,SF,1,100,0.1699
1733303971.840574,436533.000,3569,1,SF,1,100,0.1679
1733303972.106575,436799.000,3619,1,SF,1,100,0.1660
1733303972.440576,437133.000,3673,1,SF,1,100,0.1641
1733303972.840577,437533.000,3740,1,SF,1,100,0.1622
1733303973.106577,437799.000,3788,1,SF,1,100,0.1603
1733303973.440578,438133.000,3838,1,SF,1,100,0.1584
1733303973.773579,438466.000,3889,1,SF,1,100,0.1566
1733303974.173581,438866.000,3954,1,SF,1,100,0.1548
1733303974.440581,439133.000,4003,1,SF,1,100,0.1530
1733303974.773582,439466.000,4053,1,SF,1,100,0.1512
1733303975.173584,439866.000,4119,1,SF,1,100,0.1495
1733303975.506584,440199.000,4171,1,SF,1,100,0.1477
1733303975.773585,440466.000,4219,1,SF,1,100,0.1460
1733303976.106586,440799.000,4268,1,SF,1,100,0.1444
1733303976.506588,441199.000,4337,1,SF,1,100,0.1427
1733303976.773588,441466.000,4387,1,SF,1,100,0.1410
1733303977.106589,441799.000,4436,1,SF,1,100,0.1394
