LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1733303847.475708,312168.500,48856,4,EM,1,100,RB
1733303847.525959,312218.750,48856,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303847.576209,312269.000,48856,4,EM,1,100,PS
1733303847.626459,312319.250,48887,4,EM,1,100,RS
1733303847.676709,312369.500,48887,4,EM,1,100,RB
1733303847.726959,312419.750,48887,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303847.777210,312470.000,48887,4,EM,1,100,PS
1733303847.827960,312520.750,48921,4,EM,1,100,RS
1733303847.878710,312571.500,48921,4,EM,1,100,RB
1733303847.929460,312622.250,48921,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303847.980210,312673.000,48921,4,EM,1,100,PS
1733303848.032210,312725.000,48953,4,EM,1,100,RS
1733303848.084210,312777.000,48953,4,EM,1,100,RB
1733303848.136210,312829.000,48953,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303848.188211,312881.000,48953,4,EM,1,100,PS
1733303848.238461,312931.250,48988,4,EM,1,100,RS
1733303848.288711,312981.500,48988,4,EM,1,100,RB
1733303848.338961,313031.750,48988,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303848.389211,313082.000,48988,4,EM,1,100,PS
1733303848.442461,313135.250,49020,4,EM,1,100,RS
1733303848.495712,313188.500,49020,4,EM,1,100,RB
1733303848.548962,313241.750,49020,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303848.602212,313295.000,49020,4,EM,1,100,PS
1733303848.652462,313345.250,49053,4,EM,1,100,RS
1733303848.702712,313395.500,49053,4,EM,1,100,RB
1733303848.752962,313445.750,49053,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303848.803212,313496.000,49053,4,EM,1,100,PS
1733303848.853463,313546.250,49085,4,EM,1,100,RS
1733303848.903713,313596.500,49085,4,EM,1,100,RB
1733303848.953963,313646.750,49085,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303849.004213,313697.000,49085,4,EM,1,100,PS
1733303849.054463,313747.250,49121,4,EM,1,100,RS
1733303849.104713,313797.500,49121,4,EM,1,100,RB
1733303849.154963,313847.750,49121,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303849.205214,313898.000,49121,4,EM,1,100,PS
1733303849.257464,313950.250,49143,4,EM,1,100,RS
1733303849.309714,314002.500,49143,4,EM,1,100,RB
1733303849.361964,314054.750,49143,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303849.414214,314107.000,49143,4,EM,1,100,PS
1733303849.464464,314157.250,49177,4,EM,1,100,RS
1733303849.514714,314207.500,49177,4,EM,1,100,RB
1733303849.564965,314257.750,49177,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303849.615215,314308.000,49177,4,EM,1,100,PS
1733303849.665465,314358.250,49208,4,EM,1,100,RS
1733303849.715715,314408.500,49208,4,EM,1,100,RB
1733303849.765965,314458.750,49208,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303849.816216,314509.000,49208,4,EM,1,100,PS
1733303849.866466,314559.250,49244,4,EM,1,100,RS
1733303849.916716,314609.500,49244,4,EM,1,100,RB
1733303849.966966,314659.750,49244,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303850.017216,314710.000,49244,4,EM,1,100,PS
1733303850.067466,314760.250,49276,4,EM,1,100,RS
1733303850.117716,314810.500,49276,4,EM,1,100,RB
1733303850.167966,314860.750,49276,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303850.218217,314911.000,49276,4,EM,1,100,PS
1733303850.268467,314961.250,49309,4,EM,1,100,RS
1733303850.318717,315011.500,49309,4,EM,1,100,RB
1733303850.368967,315061.750,49309,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303850.419217,315112.000,49309,4,EM,1,100,PS
1733303850.469467,315162.250,49341,4,EM,1,100,RS
1733303850.519717,315212.500,49341,4,EM,1,100,RB
1733303850.569968,315262.750,49341,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303850.620218,315313.000,49341,4,EM,1,100,PS
1733303850.670468,315363.250,49376,4,EM,1,100,RS
1733303850.720718,315413.500,49376,4,EM,1,100,RB
1733303850.770968,315463.750,49376,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303850.821218,315514.000,49376,4,EM,1,100,PS
1733303850.871469,315564.250,49408,4,EM,1,100,RS
1733303850.921719,315614.500,49408,4,EM,1,100,RB
1733303850.971969,315664.750,49408,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303851.022219,315715.000,49408,4,EM,1,100,PS
1733303851.072469,315765.250,49442,4,EM,1,100,RS
1733303851.122719,315815.500,49442,4,EM,1,100,RB
1733303851.172969,315865.750,49442,4,EM,1,100,2024-12-04_16-17-23-034388.csv
