LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1733303887.390326,352083.000,55352,1,TH,1,100,30.419
1733303887.523326,352216.000,55386,1,TH,1,100,30.419
1733303887.656327,352349.000,55403,1,TH,1,100,30.504
1733303887.790327,352483.000,55420,1,TH,1,100,30.504
1733303887.923327,352616.000,55451,1,TH,1,100,30.396
1733303888.056328,352749.000,55468,1,TH,1,100,30.396
1733303888.189328,352882.000,55485,1,TH,1,100,30.419
1733303888.323328,353016.000,55516,1,TH,1,100,30.419
1733303888.456329,353149.000,55536,1,TH,1,100,30.509
1733303888.589329,353282.000,55552,1,TH,1,100,30.516
1733303888.723330,353416.000,55569,1,TH,1,100,30.523
1733303888.856330,353549.000,55601,1,TH,1,100,30.523
1733303888.990330,353683.000,55617,1,TH,1,100,30.400
1733303889.123331,353816.000,55635,1,TH,1,100,30.400
1733303889.256331,353949.000,55668,1,TH,1,100,30.539
1733303889.390332,354083.000,55684,1,TH,1,100,30.539
1733303889.523332,354216.000,55702,1,TH,1,100,30.523
1733303889.656332,354349.000,55733,1,TH,1,100,30.523
1733303889.789333,354482.000,55750,1,TH,1,100,30.533
1733303889.923333,354616.000,55767,1,TH,1,100,30.540
1733303890.056334,354749.000,55799,1,TH,1,100,30.500
1733303890.189334,354882.000,55817,1,TH,1,100,30.500
1733303890.323334,355016.000,55837,1,TH,1,100,30.518
1733303890.456335,355149.000,55854,1,TH,1,100,30.518
1733303890.589335,355282.000,55871,1,TH,1,100,30.518
1733303890.723336,355416.000,55903,1,TH,1,100,30.518
1733303890.856336,355549.000,55919,1,TH,1,100,30.451
1733303890.989336,355682.000,55936,1,TH,1,100,30.451
1733303891.123337,355816.000,55970,1,TH,1,100,30.540
1733303891.256337,355949.000,55986,1,TH,1,100,30.548
1733303891.389338,356082.000,56003,1,TH,1,100,30.542
1733303891.523338,356216.000,56037,1,TH,1,100,30.542
1733303891.656338,356349.000,56053,1,TH,1,100,30.532
1733303891.789339,356482.000,56071,1,TH,1,100,30.532
1733303891.923339,356616.000,56102,1,TH,1,100,30.591
1733303892.056340,356749.000,56120,1,TH,1,100,30.591
1733303892.189340,356882.000,56138,1,TH,1,100,30.563
1733303892.322340,357015.000,56169,1,TH,1,100,30.563
1733303892.456341,357149.000,56186,1,TH,1,100,30.455
1733303892.589341,357282.000,56203,1,TH,1,100,30.455
1733303892.722341,357415.000,56219,1,TH,1,100,30.496
1733303892.856342,357549.000,56251,1,TH,1,100,30.504
1733303892.989342,357682.000,56270,1,TH,1,100,30.598
1733303893.122343,357815.000,56287,1,TH,1,100,30.598
1733303893.256343,357949.000,56318,1,TH,1,100,30.516
1733303893.389343,358082.000,56335,1,TH,1,100,30.516
1733303893.522344,358215.000,56352,1,TH,1,100,30.549
1733303893.656344,358349.000,56383,1,TH,1,100,30.549
1733303893.789345,358482.000,56401,1,TH,1,100,30.615
1733303893.922345,358615.000,56417,1,TH,1,100,30.615
1733303894.056345,358749.000,56451,1,TH,1,100,30.539
1733303894.189346,358882.000,56468,1,TH,1,100,30.539
1733303894.322346,359015.000,56484,1,TH,1,100,30.607
1733303894.456347,359149.000,56516,1,TH,1,100,30.615
1733303894.589347,359282.000,56533,1,TH,1,100,30.528
1733303894.722347,359415.000,56551,1,TH,1,100,30.528
1733303894.856348,359549.000,56569,1,TH,1,100,30.553
1733303894.989348,359682.000,56600,1,TH,1,100,30.553
1733303895.122349,359815.000,56617,1,TH,1,100,30.577
1733303895.256349,359949.000,56634,1,TH,1,100,30.577
1733303895.389349,360082.000,56673,2,TH,1,100,30.550
1733303895.522350,360215.000,56673,2,TH,1,100,30.550
1733303895.655350,360348.000,56706,1,TH,1,100,30.637
1733303895.789351,360482.000,56723,1,TH,1,100,30.637
1733303895.922351,360615.000,56740,1,TH,1,100,30.543
1733303896.056351,360749.000,56772,1,TH,1,100,30.550
1733303896.189352,360882.000,56788,1,TH,1,100,30.545
1733303896.322352,361015.000,56805,1,TH,1,100,30.545
1733303896.456352,361149.000,56841,1,TH,1,100,30.558
1733303896.589353,361282.000,56857,1,TH,1,100,30.558
1733303896.722353,361415.000,56874,1,TH,1,100,30.647
1733303896.855354,361548.000,56906,1,TH,1,100,30.647
1733303896.989354,361682.000,56922,1,TH,1,100,30.657
1733303897.122354,361815.000,56940,1,TH,1,100,30.657
1733303897.255355,361948.000,56956,1,TH,1,100,30.553
1733303897.389355,362082.000,56990,1,TH,1,100,30.560
1733303897.522356,362215.000,57007,1,TH,1,100,30.565
1733303897.655356,362348.000,57023,1,TH,1,100,30.565
1733303897.789356,362482.000,57055,1,TH,1,100,30.524
1733303897.922357,362615.000,57072,1,TH,1,100,30.524
1733303898.055357,362748.000,57088,1,TH,1,100,30.603
1733303898.189358,362882.000,57120,1,TH,1,100,30.603
1733303898.322358,363015.000,57137,1,TH,1,100,30.574
1733303898.455358,363148.000,57156,1,TH,1,100,30.574
1733303898.588359,363281.000,57187,1,TH,1,100,30.564
1733303898.722359,363415.000,57204,1,TH,1,100,30.564
1733303898.855359,363548.000,57221,1,TH,1,100,30.639
1733303898.988360,363681.000,57252,1,TH,1,100,30.646
1733303899.122360,363815.000,57270,1,TH,1,100,30.508
1733303899.255361,363948.000,57286,1,TH,1,100,30.508
1733303899.388361,364081.000,57303,1,TH,1,100,30.684
1733303899.522361,364215.000,57337,1,TH,1,100,30.684
1733303899.655362,364348.000,57353,1,TH,1,100,30.592
1733303899.788362,364481.000,57371,1,TH,1,100,30.592
1733303899.922363,364615.000,57402,1,TH,1,100,30.522
1733303900.055363,364748.000,57418,1,TH,1,100,30.522
1733303900.188363,364881.000,57436,1,TH,1,100,30.556
1733303900.322364,365015.000,57469,1,TH,1,100,30.563
1733303900.455364,365148.000,57486,1,TH,1,100,30.627
1733303900.588365,365281.000,57508,1,TH,1,100,30.627
1733303900.722365,365415.000,57524,1,TH,1,100,30.627
1733303900.855365,365548.000,57542,1,TH,1,100,30.627
1733303900.988366,365681.000,57573,1,TH,1,100,30.612
1733303901.121366,365814.000,57592,1,TH,1,100,30.612
1733303901.255367,365948.000,57609,1,TH,1,100,30.645
1733303901.388367,366081.000,57641,1,TH,1,100,30.645
1733303901.521367,366214.000,57659,1,TH,1,100,30.668
1733303901.655368,366348.000,57676,1,TH,1,100,30.675
1733303901.788368,366481.000,57708,1,TH,1,100,30.639
1733303901.922369,366615.000,57724,1,TH,1,100,30.639
1733303902.055369,366748.000,57741,1,TH,1,100,30.623
1733303902.188369,366881.000,57760,1,TH,1,100,30.623
1733303902.321370,367014.000,57791,1,TH,1,100,30.621
1733303902.455370,367148.000,57809,1,TH,1,100,30.621
1733303902.588370,367281.000,57825,1,TH,1,100,30.664
1733303902.722371,367415.000,57857,1,TH,1,100,30.664
1733303902.855371,367548.000,57874,1,TH,1,100,30.577
1733303902.988372,367681.000,57892,1,TH,1,100,30.584
1733303903.121372,367814.000,57924,1,TH,1,100,30.643
1733303903.255372,367948.000,57941,1,TH,1,100,30.643
1733303903.388373,368081.000,57957,1,TH,1,100,30.641
1733303903.521373,368214.000,57989,1,TH,1,100,30.641
1733303903.655374,368348.000,58006,1,TH,1,100,30.679
1733303903.788374,368481.000,58023,1,TH,1,100,30.679
1733303903.921374,368614.000,58040,1,TH,1,100,30.595
1733303904.055375,368748.000,58074,1,TH,1,100,30.595
1733303904.188375,368881.000,58090,1,TH,1,100,30.612
1733303904.321375,369014.000,58107,1,TH,1,100,30.612
1733303904.455376,369148.000,58139,1,TH,1,100,30.694
1733303904.588376,369281.000,58155,1,TH,1,100,30.694
1733303904.721377,369414.000,58172,1,TH,1,100,30.699
1733303904.855377,369548.000,58206,1,TH,1,100,30.706
1733303904.988377,369681.000,58222,1,TH,1,100,30.663
1733303905.121378,369814.000,58240,1,TH,1,100,30.663
1733303905.254378,369947.000,58271,1,TH,1,100,30.668
1733303905.388379,370081.000,58287,1,TH,1,100,30.668
1733303905.521379,370214.000,58305,1,TH,1,100,30.729
1733303905.654879,370347.500,58343,2,TH,1,100,30.729
1733303905.788380,370481.000,58343,2,TH,1,100,30.617
1733303905.921380,370614.000,58376,1,TH,1,100,30.617
